X,Y,label
277420.6002823658,7036141.464306221,1
74410.56209798431,7070107.349552826,1
367500.27853368036,6634473.37504445,1
628400.6291225979,6302501.571043393,1
591450.7357055378,6197431.493501127,1
-25286.145786171546,7014222.372504916,1
367200.7691056136,6633919.471476393,1
337000.81731195416,6500701.526711125,1
-80665.97742284741,7110910.789667951,1
287850.8317865663,6478921.547783743,1
-88173.8235894983,7073567.823857807,1
-105653.10100472416,7090300.901107121,1
-9808.524066097743,7088848.18036402,1
378420.72512072703,6642091.495509015,1
236593.6807225311,6508755.551737387,1
412395.7829234297,6670017.586484151,1
892764.1140671594,6155624.9057399165,1
922120.2834243183,6031851.37833683,1
275260.73046254565,7098841.4275211,1
462129.0402362991,6360672.925359014,1
553930.5510517993,6246601.508967128,1
516300.7002976121,6270016.527829028,1
938665.230187864,6054045.137457268,1
262910.66360891785,7102211.454186834,1
305078.81226031634,6603314.476205461,1
