Faults,Archaean - Early Mesoproterozoic polygons_Contact,Late Mesoproterozoic polygons_Contact,Middle Mesoproterozoic polygons_Contact,Neoproterozoic - Ordovician polygons_Contact,Archaean to early Mesoproterozoic geological provinces_Contact,Cainozoic geological provinces_Contact,Cambrian to late Carboniferous geological provinces_Contact,Jurassic to Cretaceous geolgocial provinces_Contact,Late Carboniferous to Triassic geological provinces_Contact,Middle to late Mesoproterozoic geoglocial provinces_Contact,Neoproterozoic geolgoical provinces_Contact,Res_C1,Res_C2,Res_C3,Res_C4,Res_C5,Res_C6,Res_C7,Res_C8,Res_C9,Res_C10,Res_C11,Res_C12
49.68,6161.19,185431.47,191428.61,3135.7,6161.19,58073.02,18751.89,6488.22,12163.46,185431.47,3135.72,-1.357784976685036,6.6631817631848245,-2.1954132068519794,0.0490952314279491,0.7288361394174593,0.0138159969353347,-0.3600924086035555,-1.0467229069229365,1.2232867011628346,0.4228118769018516,1.138849655858589,-0.5803862796582685
155495.27,29078.21,275768.27,431255.76,17332.54,86003.43,29253.61,17332.54,29253.61,29253.61,275781.16,29253.61,-2.384827130987727,4.908313413617985,-1.9261397936782751,1.5997163731632076,-0.4592626859068593,0.4409875429689679,-0.3850023304904741,0.6449647537389097,0.187026184640167,0.4077207209800744,0.1763005257112305,-0.2200786248219502
659.91,11538.91,3784.95,453826.51,25717.07,11538.91,84620.58,25717.07,1627.92,115677.05,259271.1,84620.58,0.047585446923238,0.1130260904462487,-1.7676973082861638,0.6191228627257124,0.8538026146965769,0.9205257245792718,-0.6575185751714979,-0.0152468380728011,-0.1253589967823004,-0.0595743543762124,0.3044647628713092,-0.1966940296431359
171703.17,18383.2,206536.65,334399.66,17676.57,18383.2,93851.07,17675.76,93851.07,11056.43,206542.71,93851.07,-4.872832200051903,8.855551880805137,-3.946861058118887,0.8794934530231773,1.1453132115764764,-0.099997704435008,-0.661551210682884,0.0611588669144771,0.3474467855210438,0.4845701478804632,0.4285315280957092,-0.5916096869946916
1288.61,26347.71,84979.52,298749.73,20390.74,39988.03,63111.38,27316.48,2415.04,36058.04,298749.69,20390.73,1.0437560305942106,-2.532365777897825,0.6442678189606552,-2.278441659125525,1.875966294645793,0.8652949307580717,-3.03665345932258,1.1655632430017178,-1.6566359649020812,-0.7222593785753983,-0.1852168674082287,-0.4088655700613356
2693.78,1413.5,367971.07,158583.7,84427.07,275237.05,2866.34,232428.84,119608.98,119608.98,158583.67,110566.1,8.942158604122254,-4.196866458319475,-8.91868149432911,1.690318300431621,-0.6900136433823365,1.4333557649976365,1.796945734727201,-0.6354409659417373,0.5018782837244189,-0.0372178223165937,0.2732942642469889,0.4045446103395466
2325.32,49741.03,728916.06,95578.86,897.26,49736.93,24488.72,34776.12,145487.3,26845.18,95595.17,69081.82,1.459101742133383,6.7526294028128655,0.132568229144487,0.4550254423434716,-0.3586932657972779,-1.5575990851948478,-0.2055839711088205,0.6671991161339472,-0.5318676761575748,-0.2438023629070963,-0.4614424826066212,0.4574327884736314
10425.37,24212.07,27935.29,411705.59,112790.78,24212.07,4781.18,112790.78,134386.18,143197.21,115495.1,122739.16,1.4057179335962953,-2.6839133775888446,-1.0353014254826929,-0.4188178545702481,-0.3383826050910088,-0.4843473644153818,-1.4736458453046006,-0.923082367057326,-1.1652482286926071,1.2822873070541911,0.2659618268325498,0.2500134735359944
434.27,3811.74,102081.5,277215.68,7739.36,96213.0,45305.55,101065.13,64995.11,99579.87,277215.65,60667.52,7.968715945326636,-2.516791950999679,-3.264287208167351,1.0047983679829062,1.824995032681982,0.649799967040752,1.54941477178203,1.2272220627861534,0.7404191489181574,-0.9013944469971892,0.2093217895582511,0.3026179322593683
1580.99,3238.42,833923.09,236722.9,1712.01,3238.42,245.32,8360.34,102764.37,3700.81,237139.01,2887.54,1.304358536213812,4.352948667673668,1.157774609484299,1.163777698474579,-0.3951421559953673,0.3415604944872373,0.3858759220011354,0.8956895790878479,0.0305612472019471,0.804602328386733,0.2930538232404783,0.3493757375305155
7614.05,921.87,619740.56,7066.63,351.03,75752.87,27703.53,42551.93,129976.84,81458.32,7066.59,7501.22,5.07360575044413,0.561617781651163,-3.257947165393753,1.9328164156639744,-2.688117860967628,0.804224596782816,0.0116969748105671,1.3254167993675272,0.3973351530682174,0.3180944555643564,0.2258433330504602,0.1052231363238598
