X,Y
625000,6385000
630000,6385000
635000,6385000
640000,6385000
645000,6385000
650000,6385000
655000,6385000
660000,6385000
665000,6385000
670000,6385000
675000,6385000
680000,6385000
685000,6385000
690000,6385000
695000,6385000
700000,6385000
705000,6385000
430000,6390000
435000,6390000
440000,6390000
445000,6390000
450000,6390000
455000,6390000
460000,6390000
465000,6390000
470000,6390000
475000,6390000
480000,6390000
485000,6390000
490000,6390000
495000,6390000
500000,6390000
505000,6390000
510000,6390000
515000,6390000
520000,6390000
525000,6390000
530000,6390000
535000,6390000
540000,6390000
545000,6390000
550000,6390000
555000,6390000
560000,6390000
565000,6390000
570000,6390000
575000,6390000
580000,6390000
585000,6390000
590000,6390000
595000,6390000
600000,6390000
605000,6390000
610000,6390000
615000,6390000
620000,6390000
625000,6390000
630000,6390000
635000,6390000
640000,6390000
645000,6390000
650000,6390000
655000,6390000
660000,6390000
665000,6390000
670000,6390000
675000,6390000
680000,6390000
685000,6390000
690000,6390000
695000,6390000
700000,6390000
705000,6390000
710000,6390000
715000,6390000
720000,6390000
725000,6390000
730000,6390000
735000,6390000
740000,6390000
430000,6395000
435000,6395000
440000,6395000
445000,6395000
450000,6395000
455000,6395000
460000,6395000
465000,6395000
470000,6395000
475000,6395000
480000,6395000
485000,6395000
490000,6395000
495000,6395000
500000,6395000
505000,6395000
510000,6395000
515000,6395000
520000,6395000
525000,6395000
530000,6395000
535000,6395000
540000,6395000
545000,6395000
550000,6395000
555000,6395000
560000,6395000
565000,6395000
570000,6395000
575000,6395000
580000,6395000
585000,6395000
590000,6395000
595000,6395000
600000,6395000
605000,6395000
610000,6395000
615000,6395000
620000,6395000
625000,6395000
630000,6395000
635000,6395000
640000,6395000
645000,6395000
650000,6395000
655000,6395000
660000,6395000
665000,6395000
670000,6395000
675000,6395000
680000,6395000
685000,6395000
690000,6395000
695000,6395000
700000,6395000
705000,6395000
710000,6395000
715000,6395000
720000,6395000
725000,6395000
730000,6395000
735000,6395000
740000,6395000
430000,6400000
435000,6400000
440000,6400000
445000,6400000
450000,6400000
455000,6400000
460000,6400000
465000,6400000
470000,6400000
475000,6400000
480000,6400000
485000,6400000
490000,6400000
495000,6400000
500000,6400000
505000,6400000
510000,6400000
515000,6400000
520000,6400000
525000,6400000
530000,6400000
535000,6400000
540000,6400000
545000,6400000
550000,6400000
555000,6400000
560000,6400000
565000,6400000
570000,6400000
575000,6400000
580000,6400000
585000,6400000
590000,6400000
595000,6400000
600000,6400000
605000,6400000
610000,6400000
615000,6400000
620000,6400000
625000,6400000
630000,6400000
635000,6400000
640000,6400000
645000,6400000
650000,6400000
655000,6400000
660000,6400000
665000,6400000
670000,6400000
675000,6400000
680000,6400000
685000,6400000
690000,6400000
695000,6400000
700000,6400000
705000,6400000
710000,6400000
715000,6400000
720000,6400000
725000,6400000
730000,6400000
735000,6400000
740000,6400000
395000,6405000
400000,6405000
405000,6405000
410000,6405000
415000,6405000
420000,6405000
425000,6405000
430000,6405000
435000,6405000
440000,6405000
445000,6405000
450000,6405000
455000,6405000
460000,6405000
465000,6405000
470000,6405000
475000,6405000
480000,6405000
485000,6405000
490000,6405000
495000,6405000
500000,6405000
505000,6405000
510000,6405000
515000,6405000
520000,6405000
525000,6405000
530000,6405000
535000,6405000
540000,6405000
545000,6405000
550000,6405000
555000,6405000
560000,6405000
565000,6405000
570000,6405000
575000,6405000
580000,6405000
585000,6405000
590000,6405000
595000,6405000
600000,6405000
605000,6405000
610000,6405000
615000,6405000
620000,6405000
625000,6405000
630000,6405000
635000,6405000
640000,6405000
645000,6405000
650000,6405000
655000,6405000
660000,6405000
665000,6405000
670000,6405000
675000,6405000
680000,6405000
685000,6405000
690000,6405000
695000,6405000
700000,6405000
705000,6405000
710000,6405000
715000,6405000
720000,6405000
725000,6405000
730000,6405000
735000,6405000
740000,6405000
395000,6410000
400000,6410000
405000,6410000
410000,6410000
415000,6410000
420000,6410000
425000,6410000
430000,6410000
435000,6410000
440000,6410000
445000,6410000
450000,6410000
455000,6410000
460000,6410000
465000,6410000
470000,6410000
475000,6410000
480000,6410000
485000,6410000
490000,6410000
495000,6410000
500000,6410000
505000,6410000
510000,6410000
515000,6410000
520000,6410000
525000,6410000
530000,6410000
535000,6410000
540000,6410000
545000,6410000
550000,6410000
555000,6410000
560000,6410000
565000,6410000
570000,6410000
575000,6410000
580000,6410000
585000,6410000
590000,6410000
595000,6410000
600000,6410000
605000,6410000
610000,6410000
615000,6410000
620000,6410000
625000,6410000
630000,6410000
635000,6410000
640000,6410000
645000,6410000
650000,6410000
655000,6410000
660000,6410000
665000,6410000
670000,6410000
675000,6410000
680000,6410000
685000,6410000
690000,6410000
695000,6410000
700000,6410000
705000,6410000
710000,6410000
715000,6410000
720000,6410000
725000,6410000
730000,6410000
735000,6410000
740000,6410000
745000,6410000
750000,6410000
755000,6410000
760000,6410000
765000,6410000
770000,6410000
395000,6415000
400000,6415000
405000,6415000
410000,6415000
415000,6415000
420000,6415000
425000,6415000
430000,6415000
435000,6415000
440000,6415000
445000,6415000
450000,6415000
455000,6415000
460000,6415000
465000,6415000
470000,6415000
475000,6415000
480000,6415000
485000,6415000
490000,6415000
495000,6415000
500000,6415000
505000,6415000
510000,6415000
515000,6415000
520000,6415000
525000,6415000
530000,6415000
535000,6415000
540000,6415000
545000,6415000
550000,6415000
555000,6415000
560000,6415000
565000,6415000
570000,6415000
575000,6415000
580000,6415000
585000,6415000
590000,6415000
595000,6415000
600000,6415000
605000,6415000
610000,6415000
615000,6415000
620000,6415000
625000,6415000
630000,6415000
635000,6415000
640000,6415000
645000,6415000
650000,6415000
655000,6415000
660000,6415000
