SA_Cover_thickness_50m_GDA94_NoData_dx,SA_Cover_thickness_50m_GDA94_NoData_dy,dem-9s_GDA94_SA_NoData_dx,dem-9s_GDA94_SA_NoData_dy,SA_CoverThickness_400m_GDA94_NoData_dx,SA_CoverThickness_400m_GDA94_NoData_dy
11.448438,-3.1104493,4.8006477,0.9079704,10.417206,0.5298096
-1.4990234,13.026855,8.6293955,21.996778,3.5408163,5.7774076
-0.5506836,10.968653,-4.017746,-25.63233,-0.6745676,5.0650363
1.4944336,9.461914,-5.4800925,-8.702281,1.8161609,-0.9528006
-5.8588867,-25.148144,-0.1812274,-0.057164382,1.9186707,15.671717
-12.895801,32.02949,-0.0024477006,0.079536624,-1.1176255,-0.6935913
-21.012304,-0.77792966,-0.30450097,0.48637944,0.04629898,0.9447361
18.466309,21.834473,0.17038698,0.79106444,0.46751136,-1.0819004
-1.0598633,4.5375,-0.042972565,0.7792843,1.8031632,-1.1884873
2.6333008,20.362011,0.03958664,0.09271927,1.9328918,-0.78121644
27.380566,19.273535,1.6645164,0.19950561,0.2241272,-0.82632446
0.16357422,-2.186133,0.15759811,0.1077034,0.8202179,-0.55437624
1.4436524,-0.3873047,0.65819395,-0.63829803,0.9365967,-0.39007264
10.2734375,-2.5728517,-0.06905212,0.29922333,6.528177,0.009298706
1.0214844,9.343994,2.9073768,5.204135,1.4060628,-2.4855378
0.04736328,9.818262,5.7967744,22.975399,0.053448487,-4.217542
18.762598,36.523243,-7.184114,-2.6268997,4.296756,4.0421357
-0.2586914,12.796387,-0.35472545,-0.19840841,0.88914204,7.9982924
-8.25664,13.762793,0.1589487,0.032128524,-4.0712295,-0.5167801
22.792871,-30.521582,-0.08044567,-0.02552395,1.9915237,-2.8638663
8.532618,-8.018066,-1.0641922,-7.440091,1.7181327,-2.242372
-50.49336,-19.106152,0.061427306,-0.6873337,0.72992706,0.87375945
41.447166,2.9241211,0.21569595,-0.68628997,0.47541657,0.43777314
-0.1772461,2.6224608,-0.51778334,1.0845505,1.0448272,-0.238974
0.8618164,0.7693359,1.5834458,0.5938934,1.1909912,0.85250854
12.992285,3.516211,-1.1898766,-1.6532631,2.284619,-1.5164216
1.8237305,15.154297,1.9837917,-0.78717136,-0.027921367,0.13265856
-0.8051758,5.1552734,-0.46777192,-2.460296,1.8355488,0.07544603
1.8808594,10.990723,2.0253081,-0.56063175,-2.0228882,-6.9855103
,31.9917,2.68471,-0.40453568,-2.5287194,0.81221217
-0.9911133,26.186914,8.029562,-4.8871183,5.135024,0.39080906
0.9308594,22.327734,-29.235163,-0.64876556,7.0425086,-1.8794578
40.27822,17.04043,-2.9585814,-0.5763496,-1.7473822,-0.19228964
32.50176,6.4432616,4.848363,-1.6301186,0.8319473,-1.3641891
8.714063,-8.471094,3.2537637,3.815747,1.5753571,0.7697136
0.026757812,1.659961,0.005735016,0.10024452,1.2999313,0.44914705
-6.8691406,-12.997363,-0.40233725,-0.253759,-0.4458893,0.7349564
7.493262,-20.753906,0.3836891,0.26757964,1.5895096,-1.0075912
2.284668,-3.665039,0.10514526,-0.7913605,1.2120178,-1.2134247
1.9236329,-7.23584,-0.27560195,-0.08484574,0.056610107,-5.287796
-94.34453,51.090233,-3.3904197,0.8409111,-0.1953247,-1.3667908
12.88916,13.584473,0.37703076,0.84040755,0.23328581,0.25729704
-6.9311523,-0.0068359375,0.18442357,0.555528,13.35747,3.7402165
-27.023144,-1.1061523,0.21987495,-0.10763931,12.145556,-1.6327881
,20.652344,0.8025963,-0.17018998,-5.8459015,-16.847061
-19.05752,6.0203123,0.6647156,9.10849,-4.7458863,1.2292464
3.1674805,33.44746,9.712137,3.9406006,0.2062736,-0.05262203
0.5594727,43.663086,-13.903717,1.195398,0.6899932,3.4133294
22.330372,46.314552,6.5326447,3.4525344,3.7003582,1.2376988
22.483007,67.859665,-5.4979277,-10.296582,3.280635,0.60117036
1.0449219,-0.32587892,-0.09823303,-0.74955595,0.9070999,-0.25802153
0.018847656,-0.19824219,-2.075358,2.2480888,0.7740326,-0.27043456
1.9363282,-0.16455078,-0.16096497,-0.3028496,2.5269103,0.04562073
20.052734,-8.099805,-1.3750451,0.091918185,2.810965,-0.79276735
-75.59746,106.50059,0.5289238,-0.09964218,4.7587523,-3.7584472
-15.753711,27.114746,-0.5610954,0.06862488,0.015539551,-3.0817444
0.22591145,25.333984,-5.243318,0.4357811,-1.2328264,-0.3912465
23.29248,59.039062,2.4050298,0.7140419,4.758661,20.46458
2.7226562,29.468018,-0.46821707,-0.9346024,-1.920337,7.464093
-37.163673,10.733789,1.916864,-5.492882,-1.6871984,2.5820928
-0.14873047,18.979004,8.411112,-5.0091553,-3.755525,1.2197956
3.1032226,24.64619,-5.0512147,1.0601288,-1.9393251,-0.46858796
-56.8042,29.337305,-0.3156189,0.17369767,-2.5159087,-2.082924
142.65372,128.89511,8.836339,8.329627,5.224359,2.6369195
-6.9976563,1.7254883,0.9722374,1.1958908,0.6287033,-0.20879975
0.5408203,0.54238284,0.4252449,0.43232155,0.3281204,-0.6440689
1.7033203,0.24267578,-0.22582321,0.11172943,2.1882508,-0.28974915
-0.7254883,0.15449218,-0.042292785,0.15442161,3.7660065,-0.016281128
-47.58828,7.9120116,0.13466378,-0.010691834,8.196478,1.1052551
-13.61582,14.50957,-0.25326005,0.075056836,-1.1003662,-2.1177063
-4.4868164,15.066602,2.7369819,0.11199417,-0.93951595,0.101819515
4.109619,16.47461,-3.6047623,-2.686945,1.8781416,1.5095899
-7.8514404,1.2322266,5.7794747,-1.136261,-3.8444018,0.7767819
13.12561,21.80371,-1.8584557,0.8590042,1.8353761,0.40931225
13.684082,-29.036133,0.541434,-0.23106603,-4.5702257,1.4958146
23.928516,-17.554005,0.18023261,-0.43167457,-5.129155,-1.0557315
0.31308594,15.938868,2.5168977,-2.295807,0.50642437,1.4664419
-5.7889647,9.781347,-3.0683472,-1.8007996,-0.24133964,-2.0529568
47.980858,2.203711,-0.75069654,-0.21689148,1.2016785,2.0115006
132.62158,-111.041306,-7.078448,3.393435,4.3701835,-0.53304064
-7.1249022,-8.816113,0.9030148,-0.31222916,0.35304108,-0.10357819
0.84697264,-0.060058594,-0.23990822,0.22411957,0.67889404,0.1325882
1.5802734,-0.5486328,-2.9622855,-0.39678535,2.3055756,-1.3313965
-68.49609,47.025097,-2.7606072,-1.112643,4.488556,-2.0226378
-32.37461,11.231054,-0.3145279,-0.29619178,5.2050962,-0.65670776
-21.426758,-9.470899,-0.6067184,1.0018876,2.1930785,1.8716247
0.1743164,14.720703,4.0846415,-5.3654623,0.5129944,-2.6054716
9.2582035,16.241505,1.1531513,1.0004349,0.048638918,-1.5000458
-9.46084,19.226856,0.6427437,-2.3244507,0.30566,-1.275083
-5.015625,31.464193,-2.3780875,1.1085765,0.25704712,0.12839311
-2.2681885,41.40381,4.729332,-0.6354904,-1.6323655,1.0772219
7.6765623,16.458984,-1.2031639,0.11600113,1.0288002,1.5532304
,-31.23291,0.6319103,-0.20680311,1.3209991,2.1724243
4.278418,-32.033886,0.50534666,-0.01643448,-0.453183,0.8104477
-126.825584,50.776268,4.7675643,3.317128,1.2734945,-3.9172375
0.4125,28.841797,0.3282013,10.188475,2.0676687,-3.2023938
10.845606,24.557812,-7.6725526,2.7826965,1.4665754,-1.7170871
70.870316,4.086328,-1.0327629,-0.17562255,-0.48931122,-1.6119621
78.30703,166.75546,-2.5386417,-1.4573123,3.4378128,3.1160858
-21.018555,10.844629,0.07264824,-1.6425393,0.9938141,-0.6998764
2.6363282,-1.8957031,-0.07637139,-0.053295515,2.148529,-1.8411102
-43.917286,34.55205,0.028910065,-0.047729872,7.3495727,-2.2374177
-49.915234,57.76006,-0.16035195,-0.7943371,5.7637696,-8.8091
20.456152,64.56758,-0.087389186,-0.84474105,-6.528064,-9.030268
-42.238182,75.79209,0.6044998,0.30310592,1.4806458,-2.6281066
41.450195,7.6219482,0.57888794,-0.5530979,-0.5548668,1.1554859
-22.44873,14.584961,-0.91226274,-0.6480259,6.610939,-19.768635
-41.867382,9.186426,5.0797257,-2.305266,0.42335948,0.6593178
-4.594434,18.694239,-4.46264,1.0925026,9.772412,12.336962
1.3944092,32.510742,4.5466485,0.5327774,-0.28034574,-1.1991888
12.847265,35.889355,-1.2258056,-1.3928146,0.88954085,-0.016428709
99.163086,136.52571,0.3299982,-0.16758251,1.6143653,-0.85812837
21.732422,1.3505859,0.6486336,-0.5951775,-2.3516624,0.3179676
-118.293846,52.833496,-2.9793274,-1.70336,-0.35010558,1.3315891
-0.5734375,37.049316,-8.582804,-0.07704468,0.7916894,-1.2778324
7.269043,35.910255,-4.974527,-1.9987977,2.0375457,1.2986624
158.70938,-62.3542,-2.0735672,-0.6725052,5.0490713,0.53008044
35.390526,-103.22178,0.17518654,0.55971944,0.5578262,-1.9466126
-1.3330078,-1.6416016,1.0169239,-0.2005764,-0.17058869,0.3165329
3.6177735,0.1428711,-0.10323639,-1.2831054,3.4934998,1.1503754
-125.70293,0.04169922,1.3171574,-1.4779552,5.328424,0.46185914
-108.839455,-14.932226,0.265942,-1.7645146,8.947162,1.2052673
-13.621094,23.046778,1.8569946,0.57465744,1.7457764,-8.146082
13.85625,20.87793,1.564463,-1.9784683,-5.3641725,-4.492334
28.725489,43.33242,0.13681412,0.6354767,-0.2750247,-0.095233634
-23.954884,96.52266,0.35780793,0.22176781,1.9471422,1.1050806
-11.800293,41.06875,-1.2419784,1.1587242,0.0022186278,-0.19308472
-0.64501953,17.902441,-2.0577729,0.92329866,-0.5087978,3.3689752
-2.1652832,21.823828,0.65946656,1.4490741,4.8441687,4.777047
,38.721436,2.3508937,0.6131266,-0.92603683,-0.06484127
38.951466,30.030567,1.2795967,0.4220459,-4.664224,0.8314497
-15.792676,30.93955,6.2068496,1.3147339,-2.5198274,-8.311099
91.93681,31.246485,7.801296,10.147294,-3.4727387,-1.4682137
-132.4045,90.01396,1.7332046,-1.4321365,-0.8812885,0.0157403
-40.271873,38.112305,-7.023599,0.21973267,1.6627821,1.1100882
0.56220704,20.526464,5.059222,-0.026916504,-0.054675914,-0.9535219
9.643555,20.404785,3.6050568,0.5424744,-1.1176698,-2.2174497
118.956154,14.032031,-0.013935852,-0.07207336,4.3212757,0.8661617
1.3115234,0.28847656,-1.1297115,-2.7752252,3.6524658,2.5855057
-0.44873047,0.743457,-0.2537508,-0.017862892,1.0023133,-0.05782471
1.6658204,0.63134766,0.5856468,-0.7718571,1.65719,0.59843445
-93.21006,-42.708885,3.9717827,2.7232735,4.9597015,2.9462402
-49.728027,-13.879102,-0.9049057,-0.66259766,7.4100037,3.847412
-32.583885,-27.138378,-0.043157198,-0.004432297,2.8201904,5.327441
3.5867188,-3.5800781,-2.154467,1.9575313,-1.6919434,0.43323976
,28.89746,1.1799781,-0.6967165,0.40348244,0.51760405
-3.2645507,29.223827,0.3853239,0.18054047,0.115722656,2.2662835
1.3498046,20.585644,-0.99232024,0.08505211,0.4293663,0.934227
4.516504,33.575195,0.36075515,-1.167778,0.13324718,-0.119429395
-5.1736326,36.95625,0.326091,1.1107651,-0.39571255,0.38052195
0.81884766,31.962305,-1.010405,-0.67192805,1.141568,1.2090147
-6.4975586,29.735678,-6.0955834,-2.7780824,0.1828701,-0.08085432
14.607813,0.5882813,-1.2122879,-0.33188742,11.248804,2.0098748
-34.307228,-24.209864,0.20165482,-0.2720581,11.79418,5.425451
73.700096,-2.780664,4.5717306,0.6943405,-6.4624987,-1.397528
-218.85312,-21.944727,1.7283523,-1.712703,-2.736483,0.86711276
7.931836,26.707129,-5.717401,-1.082309,2.304457,-8.00733
2.2157226,31.395802,6.1674833,1.1290009,-1.1321857,0.38537097
21.373047,29.831446,0.92531127,-8.923734,-1.4848764,0.11538229
214.8505,80.80147,-1.3193588,0.12038422,8.921074,4.7586474
-20.89795,96.248825,-0.8817787,-0.29192656,0.80193555,1.8871444
19.840626,14.035937,0.059654236,-0.14300004,1.3649032,1.1007385
-1.8483398,-2.1762695,0.7434128,0.62315524,0.35780182,1.2066253
3.781543,1.9257812,-0.3555134,-0.18735047,5.783478,4.069635
-100.37109,-71.495804,1.2513676,-0.12136879,6.840515,6.0234375
-45.49121,-68.14209,0.015601349,-0.050499726,2.2731445,2.429248
-29.623144,-28.853613,-0.51344717,0.37391394,2.366443,2.7578003
,,-1.9531715,6.6197143,-1.002047,-0.05181942
-15.81455,17.588379,0.24165496,0.3708229,1.1732142,0.8243351
1.797168,16.839258,-0.56748927,-0.75769424,-0.37832698,0.9371889
16.951466,18.247461,1.4757599,0.50090563,-0.50433886,1.0675526
-29.793457,11.301367,-0.5383278,1.1821182,1.0885875,-2.6059394
7.405957,25.430567,-0.07996063,0.047274016,0.4059189,-3.4895997
8.61084,15.542089,1.4173698,-0.88800657,-21.82854,-1.815744
-17.47871,23.546581,0.45668334,-4.6191497,-0.23366646,0.60747933
5.8481445,32.236034,-3.8767364,-1.718071,2.8380823,-3.3873038
,,-0.2630532,-0.892753,-0.13027573,-0.58140945
-33.132324,23.488672,-2.9821754,1.6459389,9.195348,-12.235446
4.475,-1.7563477,-2.8619843,-0.06062851,-2.6821227,-0.081185915
-110.058205,-45.651073,-6.90249,4.879552,0.61376226,-0.21303578
0.55732423,32.605957,1.1133636,1.2659485,1.6808189,1.1786377
0.40078124,35.791992,2.48219,11.9509945,-0.8191452,1.015909
-0.57646483,37.595802,-5.506488,-1.3484131,-6.0301347,-1.382458
353.5922,57.02412,-1.8240235,-0.7578567,6.367311,0.84650594
-206.63643,112.964745,-0.088508606,-0.396624,-1.2966973,-0.7149895
194.69199,0.35976562,0.6609802,-0.4409111,3.7910988,1.8088043
14.006445,62.29297,-0.109255984,0.91461027,1.0038452,0.070791624
-8.14502,-3.7612305,-1.1684539,0.3951416,1.8001969,0.010786438
-27.310156,-21.678125,0.08824082,-0.5682152,4.155286,2.5584016
-40.080666,-61.595703,0.4751541,0.04451523,3.8626466,2.9320436
-60.125294,-62.54424,0.55920064,-0.75300026,6.543115,4.8663206
29.336304,7.1964846,7.237462,4.8322234,0.2767372,-0.79061586
-3.5947266,-4.205176,0.3397316,0.39084664,2.1727195,1.9642757
-31.738476,1.7863281,0.466119,0.35572433,0.54697114,0.8731964
47.735546,-1.8882812,1.3295791,2.4976876,0.0079780575,5.6046486
-11.250391,-46.179005,1.5021728,2.282061,-6.6711464,13.552081
-17.554785,34.292774,0.7580582,-1.1395683,-2.8315594,4.5384684
-25.346582,107.05479,2.7166138,0.1961914,1.2824442,0.86025083
-5.2993164,53.384083,-2.8076355,-3.4635804,-3.3439472,-2.4531639
-3.4981446,37.51455,-8.634562,-0.53288877,0.6577582,-2.3700213
35.19863,21.864649,-21.688715,-14.234189,7.786927,5.1568537
9.610644,-12.470312,-2.3799336,0.20181847,-2.7564723,2.4777424
278.8579,33.103516,1.3319623,0.30135077,-2.0461745,-5.4672327
10.912305,-122.200294,1.2806778,-0.5379356,-2.3937683,0.33176726
-188.79306,88.27773,-1.8004608,4.1698484,-3.9718175,-2.765145
-1.3416016,42.48662,2.3263366,8.42229,-2.3837986,1.0190393
-5.678125,32.313965,2.3894715,0.7878296,0.40434122,0.48678535
-2.5617187,27.695019,2.2082062,-11.60998,1.0172603,-4.9073668
205.96494,90.936325,-3.672931,-0.28918457,1.4100517,-0.7099887
97.5542,229.3337,-0.20102692,-0.39576262,-2.3527513,2.5038345
24.907715,72.97148,0.35471955,-0.40027237,1.6983421,0.38471985
-14.212207,-59.84072,-1.1286064,0.007982636,1.9117539,-0.06962128
-4.0158205,3.5950196,-1.5437729,0.41017455,1.3176682,-0.06779327
-1.596582,-2.2495117,-0.32595214,-1.8475997,1.6944854,1.4540374
-3.9125977,11.716601,-1.1839501,-0.40339583,3.8446136,2.3001099
-45.760643,-34.524902,2.6678894,-0.55598295,7.5690675,4.472821
-3.8846679,-62.64541,0.078822896,0.34358484,1.6719735,-1.0199573
5.898828,8.158691,0.5380459,-0.39014474,0.42639732,-0.12375069
-50.03594,-66.52226,0.11935959,0.05055771,0.47392958,0.71843183
-30.347168,70.479294,-1.5997314,-0.09817581,-1.4944195,1.3979229
57.873535,149.20723,0.791066,0.2915779,-0.7683256,0.66269034
-11.098437,45.54844,2.4045563,1.0661209,0.4473837,-0.24942589
2.8024414,43.999123,0.2920929,-2.2363906,-0.96706134,0.4065709
1.8757813,44.8958,2.8601348,0.8559601,-0.16507992,1.2361166
0.81503904,39.525684,0.26574096,-2.0024352,-2.4341767,0.4535891
0.04482422,49.15908,3.151338,-1.1995316,0.46844858,1.9853213
48.626854,84.62334,-9.081693,-0.133461,2.1134956,-0.9653543
-46.715454,-60.33291,-1.0683601,0.0067114355,2.3985894,2.5704513
